first_name,pk,pk_2,last_name,address,city,state,country,pair
0.8333,1,2,1.0,1.0,0.7273,1.0,1.0,1
0.8333,1,3,0.8571,0.8333,0.8889,1.0,1.0,1
0.8333,1,4,1.0,0.8333,1.0,1.0,1.0,1
0.6,1,5,1.0,1.0,1.0,1.0,1.0,1
0.125,1,6,0.3333,0.1053,0.2667,0.0,1.0,0
0.125,1,7,0.3333,0.2105,0.2667,0.0,1.0,0
0.125,1,8,0.3,0.1053,0.2857,0.0,1.0,0
0.125,1,9,0.2222,0.1053,0.2667,0.0,1.0,0
0.1111,1,10,0.0,0.15,0.3077,0.0,1.0,0
0.1111,1,11,0.0,0.15,0.3077,0.0,1.0,0
0.1111,1,12,0.0,0.15,0.3077,0.0,1.0,0
0.1111,1,13,0.0,0.15,0.3077,0.0,1.0,0
0.125,1,14,0.1667,0.1579,0.5455,0.0,1.0,0
0.125,1,15,0.1667,0.1579,0.5455,0.0,1.0,0
0.125,1,16,0.1667,0.1579,0.5455,0.0,1.0,0
0.125,1,17,0.1667,0.1579,0.5455,0.0,1.0,0
0.2222,1,18,0.3636,0.1053,0.2857,0.3333,1.0,0
0.2222,1,19,0.3636,0.1053,0.2857,0.3333,1.0,0
0.2222,1,20,0.3636,0.1053,0.2857,0.3333,1.0,0
0.2222,1,21,0.3636,0.1053,0.2857,0.3333,1.0,0
0.7143,2,3,0.8571,0.8333,0.6364,1.0,1.0,1
0.7143,2,4,1.0,0.8333,0.7273,1.0,1.0,1
0.5,2,5,1.0,1.0,0.7273,1.0,1.0,1
0.1111,2,6,0.3333,0.1053,0.25,0.0,1.0,0
0.1111,2,7,0.3333,0.2105,0.25,0.0,1.0,0
0.1111,2,8,0.3,0.1053,0.2667,0.0,1.0,0
0.1111,2,9,0.2222,0.1053,0.25,0.0,1.0,0
0.1,2,10,0.0,0.15,0.2,0.0,1.0,0
0.1,2,11,0.0,0.15,0.2,0.0,1.0,0
0.1,2,12,0.0,0.15,0.2,0.0,1.0,0
0.1,2,13,0.0,0.15,0.2,0.0,1.0,0
0.1111,2,14,0.1667,0.1579,0.3846,0.0,1.0,0
0.1111,2,15,0.1667,0.1579,0.3846,0.0,1.0,0
0.1111,2,16,0.1667,0.1579,0.3846,0.0,1.0,0
0.1111,2,17,0.1667,0.1579,0.3846,0.0,1.0,0
0.2,2,18,0.3636,0.1053,0.3571,0.3333,1.0,0
0.2,2,19,0.3636,0.1053,0.3571,0.3333,1.0,0
0.2,2,20,0.3636,0.1053,0.3571,0.3333,1.0,0
0.2,2,21,0.3636,0.1053,0.3571,0.3333,1.0,0
0.7143,3,4,0.8571,0.6667,0.8889,1.0,1.0,1
0.5,3,5,0.8571,0.8333,0.8889,1.0,1.0,1
0.1111,3,6,0.2222,0.1176,0.2857,0.0,1.0,0
0.1111,3,7,0.2222,0.2353,0.2857,0.0,1.0,0
0.1111,3,8,0.2,0.1176,0.3077,0.0,1.0,0
0.1111,3,9,0.25,0.1176,0.2857,0.0,1.0,0
0.1,3,10,0.0,0.1667,0.2308,0.0,1.0,0
0.1,3,11,0.0,0.1667,0.2308,0.0,1.0,0
0.1,3,12,0.0,0.1667,0.2308,0.0,1.0,0
0.1,3,13,0.0,0.1667,0.2308,0.0,1.0,0
0.1111,3,14,0.1818,0.1765,0.4545,0.0,1.0,0
0.1111,3,15,0.1818,0.1765,0.4545,0.0,1.0,0
0.1111,3,16,0.1818,0.1765,0.4545,0.0,1.0,0
0.1111,3,17,0.1818,0.1765,0.4545,0.0,1.0,0
0.2,3,18,0.4,0.1176,0.2143,0.3333,1.0,0
0.2,3,19,0.4,0.1176,0.2143,0.3333,1.0,0
0.2,3,20,0.4,0.1176,0.2143,0.3333,1.0,0
0.2,3,21,0.4,0.1176,0.2143,0.3333,1.0,0
0.5,4,5,1.0,0.8333,1.0,1.0,1.0,1
0.1111,4,6,0.3333,0.0556,0.2667,0.0,1.0,0
0.1111,4,7,0.3333,0.1053,0.2667,0.0,1.0,0
0.1111,4,8,0.3,0.0556,0.2857,0.0,1.0,0
0.1111,4,9,0.2222,0.0556,0.2667,0.0,1.0,0
0.1,4,10,0.0,0.05,0.3077,0.0,1.0,0
0.1,4,11,0.0,0.05,0.3077,0.0,1.0,0
0.1,4,12,0.0,0.05,0.3077,0.0,1.0,0
0.1,4,13,0.0,0.05,0.3077,0.0,1.0,0
0.1111,4,14,0.1667,0.1111,0.5455,0.0,1.0,0
0.1111,4,15,0.1667,0.1111,0.5455,0.0,1.0,0
0.1111,4,16,0.1667,0.1111,0.5455,0.0,1.0,0
0.1111,4,17,0.1667,0.1111,0.5455,0.0,1.0,0
0.2,4,18,0.3636,0.1176,0.2857,0.3333,1.0,0
0.2,4,19,0.3636,0.1176,0.2857,0.3333,1.0,0
0.2,4,20,0.3636,0.1176,0.2857,0.3333,1.0,0
0.2,4,21,0.3636,0.1176,0.2857,0.3333,1.0,0
0.1667,5,6,0.3333,0.1053,0.2667,0.0,1.0,0
0.1667,5,7,0.3333,0.2105,0.2667,0.0,1.0,0
0.1667,5,8,0.3,0.1053,0.2857,0.0,1.0,0
0.1667,5,9,0.2222,0.1053,0.2667,0.0,1.0,0
0.1429,5,10,0.0,0.15,0.3077,0.0,1.0,0
0.1429,5,11,0.0,0.15,0.3077,0.0,1.0,0
0.1429,5,12,0.0,0.15,0.3077,0.0,1.0,0
0.1429,5,13,0.0,0.15,0.3077,0.0,1.0,0
0.0,5,14,0.1667,0.1579,0.5455,0.0,1.0,0
0.0,5,15,0.1667,0.1579,0.5455,0.0,1.0,0
